// race-specific variables (must start with _)
_empire                           | Meklonar Dominion, Mechanar Dominion, Cybernar Dominion, Digitar Dominion, Technar Dominion
_race                             | Meklonar, Mechanar, Cybernar, Digitar, Technar
_race_plural                      | Meklonars, Mechanars, Cybernars, Digitars, Technars
_title                            | Oberster Arbiter
_nameTitle                        | Oberster Arbiter

//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
//

// Advisor text
MAIN_ADVISOR_TITLE                | %1 Berater 
MAIN_ADVISOR_BUTTON_OK            | Entlassen
MAIN_ADVISOR_SCOUT                | Flotte bereit für Erkundung und Kolonisierung. Wartet auf Anweisung zur Aufnahme von Operationen. 
MAIN_ADVISOR_TRANSPORT            | Erste Kolonie auf nahegelegener Welt gegründet. Bezeichnet als "%1". Kann %2 zusätzliche Bevölkerung beherbergen. Kann Bevölkerung von %3 transportieren, um Bevölkerung zu ergänzen. 
MAIN_ADVISOR_DIPLOMACY            | Neue Spezies entdeckt. Bezeichnet als "%1". Wartet auf weitere Anweisungen vom Mainframe. 
MAIN_ADVISOR_SHIP_ENGINE          | Forschung an verbesserten Antriebsmitteln abgeschlossen. Besprechen Sie mit den Ingenieuren, wie das neue Design am besten umgesetzt werden kann. 
MAIN_ADVISOR_RALLY_POINTS         | Spezies "%1" hat gehandelt, um die Entdeckung des Unsterblichkeitsprotokolls zu verhindern. Erstellen Sie einen Versammlungspunkt, um die Flotte zu zentralisieren und gegen sie vorzugehen. 
MAIN_ADVISOR_MISSILE_BASES        | Anfrage der Militärabteilung: Bau von defensiven Raketenbasen auf der Oberfläche äußerer Welten. Ermöglicht die Verteidigung von Welten gegen Angriffe von außen.
MAIN_ADVISOR_SHIP_WEAPON          | Forschung an Hochleistungswaffen abgeschlossen. Besprechen Sie mit den Ingenieuren, wie Sie das neue Design am besten umsetzen können. 
MAIN_ADVISOR_COUNCIL              | Benachrichtigung für Konvergenz interstellarer Imperien. Bezeichnet als "Galaktischer Rat". Wird eine Delegation entsenden, um sicherzustellen, dass der Wille des Mainframes deutlich gemacht wird. 
