// race-specific variables (must start with _)
_empire                    | Cryslonoid Imperium, Igneoid Imperium, Sedimoid Imperium, Granitoid Imperium, Magmoid Imperium
_race                      | Cryslonoid, Igneoid, Sedimoid, Granitoid, Magmoid
_race_plural               | Cryslonoids, Igneoids, Sedimoids, Granitoids, Magmoids
_title                     | Kristallimperator
_nameTitle                 | Kristallimperator

//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
//

// Advisor text
MAIN_ADVISOR_TITLE         | %1 Berater
MAIN_ADVISOR_BUTTON_OK     | Entlassen
MAIN_ADVISOR_SCOUT         | Gott-Imperator, deine Scouts stehen bereit, das erste Kolonieschiff zu jeder Welt zu eskortieren, die du wünschst! Gib den Befehl und sorge dafür, daß dein Wille geschieht!
MAIN_ADVISOR_TRANSPORT     | Die Kolonie auf %1 ist in deinem Namen gegründet worden, mächtiger Imperator! Wenn Sie wünschen, dass wir weitere Transporte zur Unterstützung Ihrer neuen Herrschaft schicken, sagen Sie es uns, und wir werden es tun!
MAIN_ADVISOR_DIPLOMACY     | Gott-Imperator! Ein Vertreter eines fremden Imperiums erscheint vor dem Thron! Dies könnte unser ewiger Feind sein, der sich offenbart! Wir werden mit aller gebotenen Vorsicht vorgehen!
MAIN_ADVISOR_SHIP_ENGINE   | Eure Wissenschaftler haben neue Schiffsmotorenkonstruktionen perfektioniert! Sie werden Eure Flotten modifizieren, sobald Ihr sie dazu ermächtigt!
MAIN_ADVISOR_RALLY_POINTS  | Endlich! Unser heiliger Krieg beginnt, Gott-Imperator! Befiehl deinen Flotten, sich auf jeder Welt zu versammeln, die du kontrollierst, und sie sollen unserem verhassten Feind den schnellen Tod bringen!
MAIN_ADVISOR_MISSILE_BASEN | Deine Generäle glauben, dass der Bau von defensiven Raketenbasen auf unseren verwundbarsten Kolonien ein kluges Unterfangen wäre! Wenn Sie zustimmen, Gott-Imperator, soll der Bau sofort beginnen!
MAIN_ADVISOR_SHIP_WEAPON   | Gott-Imperator! Eure Wissenschaftler präsentieren ihren neuesten Fortschritt in der Waffentechnologie! Wir werden unsere Flotten mit diesen Kriegswerkzeugen ausrüsten, wenn Sie nur den Befehl dazu geben!
MAIN_ADVISOR_COUNCIL       | Eine Versammlung von Lords, bekannt als der Galaktische Rat, wird bald über uns kommen! Unsere alten Feinde müssen unter denen, die sich dort versammeln, sein! Wir müssen sie entlarven, damit unser edler Kreuzzug wirklich beginnen kann!
